Ciudad,Situacion,Enero 2021,Febrero 2021,Marzo 2021,Abril 2021,Mayo 2021,Junio 2021,Julio 2021,Agosto 2021,Septiembre 2021,Octubre 2021,Noviembre 2021,Diciembre 2021,Enero 2022,Febrero 2022,Marzo 2022,Abril 2022,Mayo 2022,Junio 2022,Julio 2022,Agosto 2022,Septiembre 2022,Octubre 2022,Noviembre 2022,Diciembre 2022,Enero 2023,Febrero 2023,Marzo 2023,Abril 2023,Mayo 2023,Junio 2023,Julio 2023,Agosto 2023,Septiembre 2023,Octubre 2023,Noviembre 2023,Diciembre 2023,Enero 2024,Febrero 2024,Marzo 2024,Abril 2024,Mayo 2024
Montería,Población ocupada,163.7971256666667,165.090249,165.33650866666667,164.06763766666668,162.014788,162.206804,160.6596803333333,160.40072433333333,158.65251566666666,159.091089,154.625403,156.11125266666667,161.870906,168.98815866666666,172.01337533333336,170.99492666666666,170.13959066666666,168.57287466666665,166.6086073333333,165.55893066666667,165.188552,165.16753500000002,163.7309106666667,165.73642800000002,166.696271,168.257693,170.249502,168.596409,171.58983,173.152008,177.397698,176.788157,176.77533,179.672038,181.925332,182.106249,179.162411,180.452838,179.852762,183.902119,183.99385
Cartagena,Población ocupada,435.84626366666663,429.9842043333333,432.0801576666667,448.2867106666667,460.2990296666667,463.833604,449.995419,428.4984283333333,410.8346956666667,402.79246799999993,407.414963,417.7824186666667,421.898583,423.0446323333333,419.8549273333333,418.02999299999993,425.90284399999996,430.175778,438.0078006666667,436.9340746666667,430.8721653333334,420.922428,408.59849833333334,406.32314866666667,408.111405,416.037643,424.524638,428.136715,429.49178,433.680446,430.451882,428.553586,418.024454,415.834985,411.249607,407.507414,405.529428,402.187096,400.819508,397.106442,395.41121
Villavicencio,Población ocupada,205.38102533333335,210.38327733333335,207.70834566666667,211.28849266666666,216.687279,225.23542066666667,229.42376266666668,231.4920646666667,230.54200466666666,232.0385193333333,228.55065966666666,231.55729166666666,234.22847433333334,237.495664,236.38583299999996,233.05592633333333,236.63508733333333,234.31821733333334,238.37906366666667,239.37806766666668,242.772435,237.02226266666665,232.41512899999998,231.35595766666665,235.904827,241.378998,241.614685,241.748082,241.837394,240.182252,237.628975,236.578714,240.047396,244.609819,240.659713,240.258296,239.709595,245.301949,247.018197,249.49177,246.867907
Tunja,Población ocupada,55.625202333333334,57.904814666666674,57.910147,57.61550833333334,57.74628533333333,58.46402233333333,58.202315,59.09924000000001,63.576638,68.08128366666666,69.70785533333333,68.50212499999999,68.74257933333332,69.78381266666666,71.89860399999999,72.32451366666668,73.73367366666668,74.040851,75.15824966666668,75.14431,77.728921,78.06290366666667,78.78186633333333,77.345851,78.210624,78.494021,78.980642,78.496262,79.134596,79.722255,81.094753,80.165706,79.720126,78.606543,78.916563,78.302624,78.472946,78.111169,78.135313,78.547552,79.517736
Florencia,Población ocupada,56.953222000000004,55.946122333333335,53.819479666666666,53.182292999999994,53.34556666666666,55.33690300000001,55.469393333333336,56.921716,59.663240333333334,62.46172466666667,63.18915366666666,63.51912566666667,64.60830299999999,65.17573133333333,65.40388566666667,64.96290499999999,64.94918033333333,64.56348133333333,64.36876433333333,64.35811366666667,64.33232266666667,63.500349,61.736625000000004,61.512081333333334,61.929229,63.667481,63.61036,63.536336,63.938902,63.720403,63.554234,63.268982,64.934275,63.876179,62.24599,60.66838,62.121384,63.607936,64.3496,65.207694,65.15211
Popayán,Población ocupada,109.12357800000001,112.268118,111.33479233333333,109.52747266666667,107.73501733333332,111.68221166666666,114.62809733333332,114.12091433333332,114.13773566666667,113.77032266666667,113.93784833333335,112.85052466666667,113.10912866666666,113.23344333333334,115.78959300000001,115.96455433333334,116.839495,114.74412733333334,115.15836633333333,114.89855033333333,118.40087799999999,123.61880166666667,125.71696366666667,125.52301266666666,123.316027,125.378829,128.117927,130.524022,133.581076,133.866027,131.664224,130.042549,128.509927,130.836001,128.752532,125.286085,121.979469,123.228739,127.945186,129.500063,129.76867
Valledupar,Población ocupada,165.887503,171.36686999999998,172.54281200000003,172.64746300000002,170.32899933333331,170.360782,178.559485,180.43592800000002,180.98893366666667,178.41062366666665,180.759577,183.37693266666668,182.661308,185.83149866666668,184.33002333333334,187.1042336666667,182.93101033333332,182.49321,183.51202766666665,187.542787,189.12851333333333,186.21896433333336,182.880035,178.97124900000003,178.156885,175.900095,177.450331,179.103624,184.671091,187.683399,191.055579,192.415839,193.868846,192.468553,186.006406,183.891585,183.402282,186.218606,187.16483,184.985895,183.3318
Quibdó,Población ocupada,30.578310333333334,31.125626333333333,29.913715999999997,29.42465233333333,29.597959,30.525355,31.011778333333336,31.13234033333333,32.825558,32.21175233333333,32.220279,32.293593,34.18096766666667,35.33493266666667,35.177968666666665,35.29088433333333,33.658064333333336,32.339233666666665,31.148781666666668,30.847152333333337,31.013621,30.194350999999997,29.994920333333337,29.824395,31.121506,32.274754,33.754428,32.765752,34.102464,34.668171,36.030881,35.584107,35.575828,34.975391,34.193912,32.749599,32.797591,33.494147,33.852861,34.613222,35.371561
Neiva,Población ocupada,121.32998566666667,120.57013733333334,119.791846,117.82158166666666,119.963137,124.81615966666668,126.17243466666667,130.37792933333333,131.31316433333333,137.3558436666667,140.05945166666666,141.44781133333333,142.14534633333332,140.39370933333333,141.52199166666665,141.31468400000003,141.59586533333334,138.55473366666666,135.53086266666668,134.59465600000001,135.83021266666665,138.59009633333335,139.83877533333336,138.22114766666667,137.906941,139.09024,143.066121,143.161515,141.372097,138.425076,139.306968,141.931706,145.535677,144.560485,142.100032,141.584661,140.462466,143.507374,144.149857,147.888949,145.769609
Riohacha,Población ocupada,50.92130766666667,52.393497333333336,53.75641433333334,54.14711766666667,53.22616366666667,53.03323266666667,53.124743,53.773527,54.81315933333334,54.78588299999999,54.35340466666667,54.202453999999996,55.48558666666667,55.683921999999995,55.71077733333333,54.87563466666666,54.46804866666667,53.91090833333334,53.19464833333333,53.087227000000006,53.550126000000006,53.77885266666667,53.821480333333334,54.248582666666664,56.425482,58.868535,59.8826,58.996817,60.206784,61.31768,62.265681,60.700178,59.316497,58.835789,56.964875,55.269255,53.708289,53.410621,53.600906,55.011475,58.278021
Santa Marta,Población ocupada,181.1936106666667,180.16349266666668,179.59908866666663,179.69103466666664,185.57948966666666,187.84750566666665,191.64914433333334,186.301606,187.48119499999999,187.93155066666668,190.831128,190.499235,188.63135966666667,191.9278863333333,197.72549566666666,205.656265,207.50449033333334,207.88510499999998,209.45122,209.47845033333337,210.81652466666665,210.49950133333334,210.89278366666667,210.83476533333337,208.362652,210.654247,211.860251,212.62493,212.156253,213.255,214.367357,214.761171,208.956351,206.293283,198.871631,198.176933,195.521519,198.943304,199.093136,199.718356,201.059558
Armenia,Población ocupada,106.388214,108.33781833333335,107.36126066666668,107.02456766666667,110.87227966666667,112.91382533333332,113.42349866666666,110.94967466666667,112.65106800000001,114.01390633333331,115.33403866666667,118.44314966666666,123.24780666666668,126.24873233333334,124.69596466666667,125.56815066666667,125.90835399999999,127.25814833333334,124.933455,125.59689566666667,125.39149933333333,126.11825833333334,124.595299,124.51205433333332,125.526299,128.349795,127.749527,128.90836,130.423423,133.79795,134.425983,133.015014,135.333286,135.850138,137.267985,132.880311,131.336387,131.6638,134.462581,134.739299,136.957655
Sincelejo,Población ocupada,102.92631266666666,103.64885933333333,104.14543299999998,102.76880133333333,102.66531400000001,98.84785066666666,97.98072,96.99907133333333,102.61806366666667,107.537646,111.70031233333333,113.51908700000001,113.20130566666667,109.957674,106.36315366666668,103.226762,104.19233899999999,102.08413833333334,103.88122166666666,103.92615666666666,106.25221800000001,104.17150033333333,103.00255533333332,102.055767,102.504968,103.638536,103.929239,104.442395,105.28413,109.123094,113.980016,115.981995,113.843251,111.175386,107.595442,108.914606,108.484984,110.319717,108.195154,107.131356,107.251871
